Model,MSE,RMSE,MAE,R2,Improvement_MSE,Improvement_RMSE,Improvement_MAE,Improvement_R2
Baseline,12.124208058784278,3.48198335130774,2.1405281257629394,0.5520781901135898,0.0,0.0,0.0,0.0
Optimized,12.120542445346507,3.481456942911474,2.217698566212374,0.5522136140684931,0.030233838119560093,0.015118061838757435,-3.605205627556466,0.02452985054081335
