Dataset,MSE,RMSE,MAE,R2
Train,0.5375362008958451,0.7331686033211222,0.5583994665793431,0.9779822314078204
Validation,5.327332858348445,2.3081015701975605,1.3810013655120252,0.7618594685152991
Test,12.120542445346507,3.481456942911474,2.217698566212374,0.5522136140684931
