fp_bit,functional_groups
fp_1625,其他
fp_1626,其他
fp_1627,其他
fp_1628,其他
fp_1629,其他
fp_1630,其他
fp_1631,其他
fp_1632,其他
fp_1633,其他
fp_1634,其他
fp_1635,其他
fp_1636,其他
fp_1637,其他
fp_1638,其他
fp_1639,其他
fp_1640,其他
fp_1641,其他
fp_1642,其他
fp_1643,其他
fp_1644,其他
fp_1645,其他
fp_1646,碘代烷
fp_1647,其他
fp_1648,其他
fp_1649,其他
fp_1650,其他
fp_1651,其他
fp_1652,其他
fp_1653,其他
fp_1654,其他
fp_1655,其他
fp_1656,其他
fp_1657,其他
fp_1658,其他
fp_1659,其他
fp_1660,其他
fp_1661,其他
fp_1662,其他
fp_1663,其他
fp_1664,其他
fp_1665,其他
fp_1666,其他
fp_1667,其他
fp_1668,其他
fp_1669,其他
fp_1670,其他
fp_1671,其他
fp_1672,其他
fp_1673,其他
fp_1674,其他
fp_1675,其他
fp_1676,其他
fp_1677,其他
fp_1678,其他
fp_1679,其他
fp_1680,其他
fp_1681,其他
fp_1682,其他
fp_1683,其他
fp_1684,其他
fp_1685,其他
fp_1686,其他
fp_1687,其他
fp_1688,其他
fp_1689,其他
fp_1690,其他
fp_1691,其他
fp_1692,其他
fp_1693,胺基
fp_1694,其他
fp_1695,其他
fp_1696,其他
fp_1697,胺基
fp_1698,其他
fp_1699,其他
fp_1700,其他
fp_1701,其他
fp_1702,其他
fp_1703,其他
fp_1704,其他
fp_1705,其他
fp_1706,其他
fp_1707,其他
fp_1708,其他
fp_1709,其他
fp_1710,其他
fp_1711,其他
fp_1712,胺基
fp_1713,其他
fp_1714,其他
fp_1715,其他
fp_1716,其他
fp_1717,其他
fp_1718,其他
fp_1719,其他
fp_1720,其他
fp_1721,其他
fp_1722,其他
fp_1723,其他
fp_1724,其他
fp_1725,其他
fp_1726,其他
fp_1727,其他
fp_1728,其他
fp_1729,其他
fp_1730,其他
fp_1731,其他
fp_1732,其他
fp_1733,其他
fp_1734,其他
fp_1735,其他
fp_1736,其他
fp_1737,羧基
fp_1738,甲基
fp_1739,其他
fp_1740,其他
fp_1741,其他
fp_1742,其他
fp_1743,其他
fp_1744,其他
fp_1745,氮自由基
fp_1746,其他
fp_1747,其他
fp_1748,其他
fp_1749,其他
fp_1750,末端烯烃或亚甲基
fp_1751,其他
fp_1752,其他
fp_1753,其他
fp_1754,末端烯烃或亚甲基
fp_1755,其他
fp_1756,其他
fp_1757,其他
fp_1758,其他
fp_1759,其他
fp_1760,其他
fp_1761,其他
fp_1762,甲基
fp_1763,其他
fp_1764,其他
fp_1765,其他
fp_1766,其他
fp_1767,其他
fp_1768,其他
fp_1769,其他
fp_1770,烯烃
fp_1771,其他
fp_1772,其他
fp_1773,其他
fp_1774,其他
fp_1775,其他
fp_1776,其他
fp_1777,其他
fp_1778,其他
fp_1779,其他
fp_1780,其他
fp_1781,其他
fp_1782,其他
fp_1783,其他
fp_1784,其他
fp_1785,其他
fp_1786,碘代烷
fp_1787,其他
fp_1788,其他
fp_1789,甲基
fp_1790,其他
fp_1791,其他
fp_1792,其他
fp_1793,其他
fp_1794,其他
fp_1795,其他
fp_1796,其他
fp_1797,其他
fp_1798,其他
fp_1799,其他
fp_1800,其他
fp_1801,其他
fp_1802,其他
fp_1803,其他
fp_1804,胺基
fp_1805,其他
fp_1806,其他
fp_1807,其他
fp_1808,其他
fp_1809,其他
fp_1810,其他
fp_1811,其他
fp_1812,其他
fp_1813,其他
fp_1814,其他
fp_1815,其他
fp_1816,其他
fp_1817,其他
fp_1818,其他
fp_1819,其他
fp_1820,其他
fp_1821,其他
fp_1822,其他
fp_1823,其他
fp_1824,其他
fp_1825,其他
fp_1826,其他
fp_1827,其他
fp_1828,其他
fp_1829,其他
fp_1830,其他
fp_1831,其他
fp_1832,其他
fp_1833,其他
fp_1834,其他
fp_1835,其他
fp_1836,其他
fp_1837,其他
fp_1838,其他
fp_1839,其他
fp_1840,胺基
fp_1841,其他
fp_1842,其他
fp_1843,其他
fp_1844,其他
fp_1845,其他
fp_1846,其他
fp_1847,其他
fp_1848,其他
fp_1849,其他
fp_1850,其他
fp_1851,其他
fp_1852,其他
fp_1853,其他
fp_1854,其他
fp_1855,氮自由基
fp_1856,其他
fp_1857,其他
fp_1858,其他
fp_1859,其他
fp_1860,其他
fp_1861,其他
fp_1862,其他
fp_1863,其他
fp_1864,其他
fp_1865,其他
fp_1866,其他
fp_1867,其他
fp_1868,其他
fp_1869,其他
fp_1870,其他
fp_1871,其他
fp_1872,其他
fp_1873,其他
fp_1874,其他
fp_1875,其他
fp_1876,其他
fp_1877,其他
fp_1878,其他
fp_1879,其他
fp_1880,其他
fp_1881,其他
fp_1882,其他
fp_1883,其他
fp_1884,其他
fp_1885,其他
fp_1886,其他
fp_1887,其他
fp_1888,其他
fp_1889,其他
fp_1890,其他
fp_1891,其他
fp_1892,其他
fp_1893,其他
fp_1894,其他
fp_1895,其他
fp_1896,其他
fp_1897,其他
fp_1898,其他
fp_1899,其他
fp_1900,其他
fp_1901,其他
fp_1902,其他
fp_1903,其他
fp_1904,其他
fp_1905,其他
fp_1906,其他
fp_1907,其他
fp_1908,其他
fp_1909,其他
fp_1910,其他
fp_1911,甲基
fp_1912,其他
fp_1913,其他
fp_1914,其他
fp_1915,其他
fp_1916,其他
fp_1917,其他
fp_1918,其他
fp_1919,其他
fp_1920,其他
fp_1921,其他
fp_1922,其他
fp_1923,其他
fp_1924,其他
fp_1925,其他
fp_1926,其他
fp_1927,其他
fp_1928,其他
fp_1929,其他
fp_1930,其他
fp_1931,其他
fp_1932,其他
fp_1933,其他
fp_1934,其他
fp_1935,其他
fp_1936,羟基/醚
fp_1937,其他
fp_1938,其他
fp_1939,胺基
fp_1940,其他
fp_1941,其他
fp_1942,其他
fp_1943,其他
fp_1944,其他
fp_1945,其他
fp_1946,其他
fp_1947,其他
fp_1948,其他
fp_1949,其他
fp_1950,其他
fp_1951,其他
fp_1952,其他
fp_1953,其他
fp_1954,其他
fp_1955,其他
fp_1956,其他
fp_1957,其他
fp_1958,其他
fp_1959,其他
fp_1960,其他
fp_1961,其他
fp_1962,其他
fp_1963,其他
fp_1964,其他
fp_1965,其他
fp_1966,其他
fp_1967,其他
fp_1968,其他
fp_1969,其他
fp_1970,其他
fp_1971,其他
fp_1972,其他
fp_1973,其他
fp_1974,其他
fp_1975,含硫基团
fp_1976,胺基
fp_1977,其他
fp_1978,其他
fp_1979,其他
fp_1980,其他
fp_1981,其他
fp_1982,其他
fp_1983,其他
fp_1984,其他
fp_1985,其他
fp_1986,其他
fp_1987,其他
fp_1988,其他
fp_1989,其他
fp_1990,其他
fp_1991,其他
fp_1992,其他
fp_1993,其他
fp_1994,其他
fp_1995,其他
fp_1996,其他
fp_1997,其他
fp_1998,其他
fp_1999,其他
fp_2000,其他
fp_2001,其他
fp_2002,其他
fp_2003,其他
fp_2004,其他
fp_2005,其他
fp_2006,其他
fp_2007,其他
fp_2008,其他
fp_2009,其他
fp_2010,其他
fp_2011,其他
fp_2012,其他
fp_2013,其他
fp_2014,其他
fp_2015,其他
fp_2016,其他
fp_2017,其他
fp_2018,其他
fp_2019,其他
fp_2020,其他
fp_2021,其他
fp_2022,其他
fp_2023,其他
fp_2024,其他
fp_2025,其他
fp_2026,其他
fp_2027,其他
fp_2028,其他
fp_2029,其他
fp_2030,其他
fp_2031,其他
fp_2032,其他
fp_2033,其他
fp_2034,其他
fp_2035,其他
fp_2036,其他
fp_2037,含硫基团
fp_2038,甲基
fp_2039,其他
fp_2040,其他
fp_2041,其他
fp_2042,其他
fp_2043,其他
fp_2044,胺基
fp_2045,胺基
fp_2046,其他
fp_2047,其他
