raw_name,importance
Perovskite_composition_long_form_(PMA)0.67FA0.33PbI3,0.002294214
Perovskite_deposition_thermal_annealing_time_300,0.002289956
Perovskite_composition_long_form_FA0.9MA0.1PbBr0.1I2.9,0.0022480146
stack_NiO-c,0.0022451484
Perovskite_deposition_thermal_annealing_atmosphere_-1,0.0022378245
Perovskite_additives_concentrations_0.0002,0.002186848
Perovskite_composition_long_form_FA0.7MA0.3PbBr0.256I0.744,0.0021713274
HTL_deposition_procedure_Evaporation,0.002162174
HTL_Spiro-MeOTAD,0.002161159
Perovskite_deposition_thermal_annealing_time_30.0 >> 18.5,0.0021363043
stack_CuBuPc,0.0021102752
Cell_architecture_nip,0.0020816952
HTL_additives_compounds_FK209; Li-TFSI; TBP,0.002077092
Perovskite_composition_long_form_(PEA)2MA4Pb5I16,0.0020686055
stack_2PACz,0.0020684914
Perovskite_deposition_thermal_annealing_time_10,0.0020667145
Perovskite_deposition_solvents_mixing_ratios_9; 1,0.002010433
stack_Al2O3-mp,0.0020080125
Perovskite_composition_long_form_Cs0.17FA0.83PbBr1.2I1.8,0.0020072996
Perovskite_additives_concentrations_1 mg/ml; 5.2 mg/ml,0.0019960497
ETL_PCBM-60,0.0019815692
Perovskite_composition_inorganic,0.001981043
Perovskite_additives_concentrations_0.015,0.0019645512
Perovskite_deposition_synthesis_atmosphere_N2,0.0019163378
Perovskite_composition_long_form_FAPbBr0.256I0.744,0.0019116467
ETL_C60,0.0019036323
stack_Ag,0.0018951711
ETL_deposition_procedure_Spray-pyrolys,0.001889162
Perovskite_deposition_aggregation_state_of_reactants_Liquid,0.0018827164
Perovskite_composition_long_form_Cs0.25FA0.75PbBr0.6I2.4,0.0018759717
Perovskite_deposition_synthesis_atmosphere_N2 >> N2,0.0018540357
Perovskite_composition_long_form_(PBA)1.5BA0.5MA3Pb4I13,0.0018516311
Perovskite_composition_assumption_Solution composition,0.0018464567
Perovskite_additives_concentrations_4 mg/ml,0.0018388872
